ResponseID,Cluster,Did you pursue further training after placing your first dental implant?,"If Yes, this was CE ","If Yes, this was: None","If Yes, this was: Other","If Yes, this was: Uni1yr","If Yes, this was: Uni2yr","If Yes, this was: Uni3yr","If Yes, this was: ",Challenge.Anasthesia,Challenge.Implant.position,Challenge.Incision,Challenge.No.information,Challenge.prep.osteotomy,Challenge.reflection,Challenge.suturing,Challenge.other,Challenge,Reflection.Ad.prep,Reflection.Some.prep,Reflection.not.prep,Reflection.no.infromation,Reflection
R_2xFQWF0sGqisylg,4,Yes,1,0,0,0,0,0,CE,1,0,0,0,0,0,0,0,Anasthesia,0,1,0,0,Somewhat.prepared
R_DCN9MagoDHEopZ7,4,Yes,1,0,0,0,0,0,CE,1,0,0,0,0,0,0,0,Anasthesia,0,1,0,0,Somewhat.prepared
R_1pA3mZfeDlqXLXr,4,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,0,1,0,0,Somewhat.prepared
R_2AR6gjwzxSYHTY3,4,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,0,1,0,0,Somewhat.prepared
R_2EGYQn0pJjzzVo6,4,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,0,1,0,0,Somewhat.prepared
R_2QLgeCdqgbGbPUE,4,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,0,1,0,0,Somewhat.prepared
R_3M6cpAZjWKkdn7t,3,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,0,1,0,0,Somewhat.prepared
R_3PXMv9HkwNIqw3E,5,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,0,1,0,0,Somewhat.prepared
R_3Rej0rf1iu6tVa5,4,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,0,1,0,0,Somewhat.prepared
R_C96w1igcC9XuVlT,3,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,0,1,0,0,Somewhat.prepared
R_dpeWcDpXB6fk1sR,4,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,0,1,0,0,Somewhat.prepared
R_1M68FeFAsQa0ZKA,2,Yes,0,0,0,0,0,1,University.3.yr,1,0,0,0,0,0,0,0,Anasthesia,0,1,0,0,Somewhat.prepared
R_1lty5j7VtritvnO,2,Yes,1,0,0,0,0,0,CE,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2c7Ty7VR0WNW2xf,2,Yes,1,0,0,0,0,0,CE,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_SHHiJKykm6JHIyJ,4,Yes,1,0,0,0,0,0,CE,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_10uBBiLRDhqhQ5S,2,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1ISgRyC2cXZI1PD,4,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1JLsXnunju1L20z,5,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2bIRLpmOZF8K1RE,3,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2D0v0VPGihr3dHw,5,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2q40CCrjjdGprQ1,5,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3fBHgbAkzqnuHIs,2,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3PaDiMztzkgCOV0,5,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_9ERlN09VYyoI2J3,3,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_pMFY4hyoDCzVOlb,4,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_TpDd92RWeuccyjf,3,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_Xwioa3uSYW9vsPL,3,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_yPAf8nXGop4yOTD,5,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_10AA0ny5tJAxFXy,5,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_11aoBGsaXOsIXMd,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_12iol6Njiw808tS,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1diBC9BHBmLI22y,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1FfCZpLbmOBRUS4,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1gbfMTP5kpWYRVT,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1GH3LZdnYMChdWu,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1GOnqiIdrJJHaa2,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1hYZvXCSAypAQRm,1,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1I5ISUkqtjh7FWh,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1kFc1RNDw6ovTNM,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1l00Xju50HfUSe1,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1LqvtU0vHKWW204,5,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1MTnCzLUSZ3nfm8,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1OlaicpoiOsgHTw,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1Q5ePb0jFYi66Gx,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1Q9NI7zt2TtiqlD,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1qVUakdSrM4uUMm,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1zEKAuzClsl7mFP,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_21FAit1t7YFAwtG,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_231Cx5hD7SznLW3,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_26mRb8VwqzbFQmQ,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_26mwIE1xXTLakte,1,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_29uMwtUHbpBM6Pr,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2A0wlgFpBfOArNF,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2cttlIsJj3cEhHE,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2dzRlFmECDuyOpC,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2fDqjmGB7GKspIT,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2OHDIFJqRlwUUmi,1,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2qgGk2GS9nAEJU2,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2t42WXeZMoqAGF8,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2uqsU49jT0tvrrc,5,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2VEpa6ReZEv3n0O,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2wztf3gDt3Na9ar,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2YLFeItrVjPaHEL,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3Dgalu9divWZTYl,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3e5mjVhj7lQbagL,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3Esu5mNIKFVglDl,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3FQcWQ6YUitl8yZ,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3HpsFEfuC3gmpV8,5,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3HzDDhfbUZwklqk,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3ixN4dg8Cg0eT6c,1,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3lXM0u5RsZA9EYh,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3mTvo8KMB569Sw1,1,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3n27V6SxODdiW0V,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3OpOJLUidetsc6D,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3PLbcQHMAZli2Gg,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3rYgjJN4IhwVfpL,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_6nZ3NLgd2uhE8OF,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_74IM7MfRqK41Fhn,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_9t62xkTE6INoxrD,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_9zuSxPuHpWbuRSF,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_bpfsw8qM6a3U4eJ,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_cSZ9T1LfkbGO5RT,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_DtKOrkDdIf9fKoh,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_egnY6jwttLhvAw9,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_PB7CNNLy1wcOX3X,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_PGwazSx9FoyBs0F,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_qKJFkH01FKjB6BX,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_r8vEWszsCAOVStr,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_RV6TLnWnWsYy9B7,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_uadK9VP2Gad19K1,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_USV8ieWZV3gtPRT,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_WpuR3RnolQBLgit,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_WrCkknrf5OWRuP7,5,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1H5G7VPIvn7L1iw,3,Yes,0,0,0,1,0,0,University.1.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1lmBEaCKxdTpSB4,4,Yes,0,0,0,1,0,0,University.1.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_20MbNyDwbD7MXju,5,Yes,0,0,0,1,0,0,University.1.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_21d10dMr9MArg6c,4,Yes,0,0,0,1,0,0,University.1.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_25EkOmCagYDwwEH,3,Yes,0,0,0,1,0,0,University.1.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_25YBQSENiULrvF7,3,Yes,0,0,0,1,0,0,University.1.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2bPDQtkSyK5Mwuc,3,Yes,0,0,0,1,0,0,University.1.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_6ETOBsU3IVsyaNX,2,Yes,0,0,0,1,0,0,University.1.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_AFf0KfROFOu3Tfb,4,Yes,0,0,0,1,0,0,University.1.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_Y6suN7dOIZp5Fst,4,Yes,0,0,0,1,0,0,University.1.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2v1HxzrVE6HCcjk,2,Yes,0,0,0,0,1,0,University.2.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2ZTGHV35TeQBV4W,2,Yes,0,0,0,0,1,0,University.2.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3ETsDxrlBREL4rO,2,Yes,0,0,0,0,1,0,University.2.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3kw6mylKo3Vu78N,4,Yes,0,0,0,0,1,0,University.2.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_81aS34pEp6HLVnz,3,Yes,0,0,0,0,1,0,University.2.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_bdsTXfM8HkFn14Z,5,Yes,0,0,0,0,1,0,University.2.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1FbkyCSK3xY9Xyh,4,Yes,0,0,0,0,0,1,University.3.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1gMHapsIvWd81hO,4,Yes,0,0,0,0,0,1,University.3.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_1je7FfhQoiUN4fz,2,Yes,0,0,0,0,0,1,University.3.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_20TpyLPyqaVhDZ0,5,Yes,0,0,0,0,0,1,University.3.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_25MwT7QaVQtJb9f,3,Yes,0,0,0,0,0,1,University.3.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2azsjSJ9CwVmHEU,5,Yes,0,0,0,0,0,1,University.3.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2EzTeSqWWe5EUVI,4,Yes,0,0,0,0,0,1,University.3.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_2WVvAgLKSTzJAQL,3,Yes,0,0,0,0,0,1,University.3.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3CEnLSpU7v28B4s,1,Yes,0,0,0,0,0,1,University.3.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_4OcXWYbGma0430B,2,Yes,0,0,0,0,0,1,University.3.yr,0,1,0,0,0,0,0,0,Identification.of.implant.position,1,0,0,0,Adequately.prepared
R_3rGjZ2jbyIr3P1g,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,0,1,No.information
R_22QtQ3k3aYyQgmy,5,Yes,1,0,0,0,0,0,CE,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_124sbVMpRlx9XpL,5,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_1hYUUHFNzifoCKp,3,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_1oFGLi9o7jONGKI,4,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_1QgCPCc7A070guW,4,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_1rc86du3S8Cscnh,4,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_1rpE7WlKG7JSMQH,3,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_241R5mqTO9ihFAB,3,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_25R3siEQnuCnkgB,2,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_271LJuiOc2wI8Eb,4,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_2dRV8VforBE1YYq,1,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_2PAKdZVLVnSVbJo,4,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_2qkLjJe2aP6xJ9a,2,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_2WIL640YvSjRj2c,3,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_2xP54yvFFfzl8at,2,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_2yazecQKYHLhryE,5,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_2YP3FB1HFZrfUWE,5,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_3EfIfREMeqeBdoS,5,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_3etoDTzbynAN4R9,3,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_3IYS0t1DY5pWVnk,5,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_cMHCj8cGC6dw1UJ,5,No,0,1,0,0,0,0,None,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_1eD9TTMwkKvGTCG,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_1Ei15AWlMBmcXkL,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_1i9WB5Zkw8WAGqG,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_1j9Di9Zsa04eGyM,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_1kYc97aiXyM647R,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_1LUNDpVDRYaQD4J,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_2949g7Oc5uTtXg4,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_2bUcr3PsUNTdMzF,5,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_2DZVNCgMTc1oXHn,5,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_2TYTWti9CRuzICC,3,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_2v98pKVpTN50Rou,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_2z5YZmPItD7fSQo,4,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
R_3EgRobFS2lQ9VjL,2,Yes,0,0,1,0,0,0,Other,0,1,0,0,0,0,0,0,Identification.of.implant.position,0,0,1,0,Not.adequately.prepared
