ResponseID,clust,Did you pursue further training after placing your first dental implant?,"If Yes, this was CE ","If Yes, this was: None","If Yes, this was: Other","If Yes, this was: Uni1yr","If Yes, this was: Uni2yr","If Yes, this was: Uni3yr","If Yes, this was: ",Supervision.first.implant.1.on.1,Supervision.first.implant.multiple,Supervision.first.implant.no.,Supervision.first.implant.no.information,Supervision.first.implant.other,Supervision.first.implant,Setting.first.implant,Duration.Proc.1.to.2.hr,Duration.Proc.2.to.3.hr,Duration.Proc.Less.than.1.hr,Duration.Proc.More.than.3.hr,Duration.Proc.No.info,Duration.Proc,Area,Surgical.Guide,Challenge.Anasthesia,Challenge.Implant.position,Challenge.Incision,Challenge.No.information,Challenge.prep.osteotomy,Challenge.reflection,Challenge.suturing,Challenge.other,Challenge,Restoration.type.other,Restoration.type.cem.ret.cr,Restoration.type.imp.sup.br,Restoration.type.imp.sup.cd,Restoration.type.no.information,Restoration.type,No complications,Over-prepared.osteotomy,Under-prepared.osteotomy,Inappropriate.implant.positioning,Difficulties.in.flap.design.closure,Wrong sequence of drills,Other.Complication,Reflection.Ad.prep,Reflection.Some.prep,Reflection.not.prep,Reflection.no.infromation,Reflection,Formal.mentor,"If Yes, this was: ",Advice.University,Advice.CE,Adv.mentor,Adv.imp.company,Adv.On.line.Ed,Adv.other
R_2YRpQvFrDmG644p,1,1,1,0,0,0,0,0,CE,0,0,1,0,0,No,Private,0,0,1,0,0,Less.than.1.hr,Single.implant,0,0,0,0,0,1,0,0,0,Prep.osteotomy,0,1,0,0,0,Cem.ret.cr,1,0,0,0,0,0,0,1,0,0,0,Ad.prep,0,Not.applicable,1,0,1,0,0,0
R_797dsMHHV0orAXf,1,1,1,0,0,0,0,0,CE,0,0,1,0,0,No,Private,1,0,0,0,0,1.to.2.hr,Single.implant,0,0,0,0,0,1,0,0,0,Prep.osteotomy,0,1,0,0,0,Cem.ret.cr,0,0,1,0,0,0,0,0,1,0,0,Som.prep,0,Not.applicable,1,0,1,0,0,0
R_2uCAeEpqeWImSGo,1,1,1,0,0,0,0,0,CE,0,1,0,0,0,Multiple,CE,0,0,1,0,0,Less.than.1.hr,Single.implant,0,0,0,0,0,1,0,0,0,Prep.osteotomy,0,1,0,0,0,Cem.ret.cr,1,0,0,0,0,0,0,1,0,0,0,Ad.prep,1,Assoc,1,0,1,0,0,0
R_71V4goCekujeosF,5,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Private,0,0,1,0,0,Less.than.1.hr,Multiple.implant,0,0,0,0,0,0,0,1,0,Suturing,0,1,0,0,0,Cem.ret.cr,1,0,0,0,0,0,0,1,0,0,0,Ad.prep,1,Other,1,0,1,0,0,0
R_2c7Ty7VR0WNW2xf,2,1,1,0,0,0,0,0,CE,0,0,1,0,0,No,Private,0,0,1,0,0,Less.than.1.hr,Single.implant,0,0,1,0,0,0,0,0,0,Id.implant.position,0,0,1,0,0,imp.sup.br,1,0,0,0,0,0,0,1,0,0,0,Ad.prep,0,Not.applicable,0,1,1,0,0,0
R_11hYbfZxJlC5CbR,4,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Uni,0,0,1,0,0,Less.than.1.hr,Single.implant,0,0,0,0,0,1,0,0,0,Prep.osteotomy,0,0,1,0,0,imp.sup.br,1,0,0,0,0,0,0,1,0,0,0,Ad.prep,1,Uni,0,1,1,0,0,0
R_22QtQ3k3aYyQgmy,5,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Uni,0,0,1,0,0,Less.than.1.hr,Single.implant,0,0,1,0,0,0,0,0,0,Id.implant.position,0,1,0,0,0,Cem.ret.cr,1,0,0,0,0,0,0,0,0,1,0,Not.ad.prep,1,Uni,0,1,1,0,0,0
R_DCN9MagoDHEopZ7,4,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Uni,1,0,0,0,0,1.to.2.hr,Single.implant,0,1,0,0,0,0,0,0,0,Anasthesia,0,1,0,0,0,Cem.ret.cr,1,0,0,0,0,0,0,0,1,0,0,Som.prep,1,Uni,1,1,1,0,0,0
R_12FR7iOFa1abjzf,5,1,1,0,0,0,0,0,CE,0,0,1,0,0,No,Uni,0,0,1,0,0,Less.than.1.hr,Multiple.implant,0,0,0,0,0,0,0,0,1,Other,0,1,0,0,0,Cem.ret.cr,0,0,0,0,0,0,1,0,1,0,0,Som.prep,0,Not.applicable,0,0,0,0,1,0
R_1j9QjtlruFhJP67,3,1,1,0,0,0,0,0,CE,0,1,0,0,0,Multiple,CE,1,0,0,0,0,1.to.2.hr,Multiple.implant,0,0,0,0,0,1,0,0,0,Prep.osteotomy,0,1,0,0,0,Cem.ret.cr,0,0,0,0,1,0,0,1,0,0,0,Ad.prep,1,Assoc,1,1,0,0,1,0
R_2xLj20dqvmWRERf,2,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Private,1,0,0,0,0,1.to.2.hr,Single.implant,0,0,0,0,0,1,0,0,0,Prep.osteotomy,0,1,0,0,0,Cem.ret.cr,0,0,0,0,0,1,0,0,1,0,0,Som.prep,0,Not.applicable,0,0,1,0,1,0
R_3phdfFffpp7pZX7,5,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Private,0,0,1,0,0,Less.than.1.hr,Multiple.implant,0,0,0,1,0,0,0,0,0,Incision,0,0,0,1,0,imp.sup.cd,0,0,0,0,1,0,0,0,1,0,0,Som.prep,1,Other,0,0,1,0,1,0
R_81im9iAXw4mpMVH,2,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Other,0,0,1,0,0,Less.than.1.hr,Single.implant,0,0,0,0,0,0,0,1,0,Suturing,0,1,0,0,0,Cem.ret.cr,0,0,0,0,1,0,0,0,1,0,0,Som.prep,1,Sr.Coll,1,0,1,0,1,0
R_DjhjIGJ4Bkk9DZT,3,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Private,0,0,1,0,0,Less.than.1.hr,Multiple.implant,0,0,0,0,0,1,0,0,0,Prep.osteotomy,0,0,1,0,0,imp.sup.br,0,0,0,0,0,0,1,0,1,0,0,Som.prep,1,Sr.Pr,0,1,1,0,1,0
R_21uJZpr3l6Nbf29,3,1,1,0,0,0,0,0,CE,0,1,0,0,0,Multiple,Uni,0,1,0,0,0,2.to.3.hr,Single.implant,0,0,1,0,0,0,0,0,0,Id.implant.position,1,0,0,0,0,Other,0,0,0,1,0,0,0,0,1,0,0,Som.prep,1,Uni,1,1,1,0,1,0
R_2DMqE11Brg0LvpX,2,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Private,1,0,0,0,0,1.to.2.hr,Single.implant,0,0,0,0,0,0,0,1,0,Suturing,0,1,0,0,0,Cem.ret.cr,0,0,0,1,1,1,0,0,1,0,0,Som.prep,0,Not.applicable,1,0,1,1,1,0
R_2aRXC5lHcAlyNT6,5,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Uni,0,0,1,0,0,Less.than.1.hr,Single.implant,0,0,0,0,0,1,0,0,0,Prep.osteotomy,0,0,1,0,0,imp.sup.br,1,0,0,0,0,0,0,1,0,0,0,Ad.prep,0,Not.applicable,1,1,1,1,1,0
R_2yk1USnDLS6xCqw,2,1,1,0,0,0,0,0,CE,0,0,1,0,0,No,Private,0,0,1,0,0,Less.than.1.hr,Multiple.implant,0,0,0,0,0,1,0,0,0,Prep.osteotomy,0,1,0,0,0,Cem.ret.cr,1,0,0,0,0,0,0,0,0,1,0,Not.ad.prep,1,Other,1,1,1,1,1,0
R_2QROcuIXsFIBxU5,4,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Uni,0,0,1,0,0,Less.than.1.hr,Single.implant,0,0,0,0,0,1,0,0,0,Prep.osteotomy,0,0,1,0,0,imp.sup.br,0,0,0,0,0,0,1,0,1,0,0,Som.prep,1,Uni,1,1,1,1,1,0
R_SHHiJKykm6JHIyJ,4,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Uni,0,0,1,0,0,Less.than.1.hr,Single.implant,0,0,1,0,0,0,0,0,0,Id.implant.position,0,0,0,1,0,imp.sup.cd,1,0,0,0,0,0,0,1,0,0,0,Ad.prep,1,Assoc,0,0,1,0,0,1
R_0ofDsiHyvPAL9x7,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1CftTocnAQgzMml,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1Dr1dyf7UfiWltP,1,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1ewyARVRHvN8LQy,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1Fb26vlOOy9l4z4,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1fiOtfwJFPdx9SR,3,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1gbEt6RkV32iAMm,4,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1ghJYMtgWfkgTtq,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1GHzEG7vxbqSaNq,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1GZaa5LaRnzKTUq,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1K7HmaNxM4NajFw,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1kHc1bQKG8EB6Gi,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1KxwrgIWni9BLfT,2,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1lztQObstCEUbXO,1,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1pDmcrgL63UyorE,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1Q9NIhIaMKBceMq,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_23UHvOFhFySjbBY,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_24dQFVrUq3oWK9p,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_26mUeqj9f9OyKuf,3,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_2aCAPsZTaXkyRYr,3,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_2dsS0bzf8stpIOk,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_2OVWN20ISclkh4d,2,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_2Qtg1reX6tMJQYR,3,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_2Raml8QLvotTFLL,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_2TLfHH6M9Jrr5ep,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_2wt1PQfvmtGWiYS,1,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_2WYUtdWeUSjzFwb,3,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_2X5KOm9lfatOdp3,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_33ybx2qYESj3atZ,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_3dJQAPC3YhSkADx,3,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_3EiiruhbCjC5kwp,3,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_3FRoMJWMJ1YWK5U,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_3jT1Tlai7DfUPDH,4,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_3lPqSn9P4e1yNSD,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_3qa276HUe2R3uGv,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_3qldP042aGH5Dza,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_3rJrnv6r2eeTQH4,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_6G2ZjDTr22H2rHr,3,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_6mcmVXMXhgdhbtn,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_7Qxh7CCYPZgU5R7,3,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_8J7aIv7L029g1wZ,2,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_BM9I3oUOR1eyDQJ,4,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_eSeYMaKq8aZRN7D,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_OOkWoQqXhyuxriN,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_qPCNE7M4V7CmRuF,4,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_tYBixMujEZ4InSx,1,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_u1ZeZquMJHH92RH,5,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_ylr8VGuUzCxElWx,1,0,0,1,0,0,0,0,None,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
